t=2025-08-10T02:24:45+0300 lvl=info msg="open config file" path=/Users/antonparfenov/tg-money-miniapp/ngrok.yml err=nil
t=2025-08-10T02:35:05+0300 lvl=info msg="join connections" obj=join id=9082e7fcf920 l=[::1]:5173 r=95.25.228.116:24663
t=2025-08-10T02:35:05+0300 lvl=info msg="join connections" obj=join id=7c7dabe00f16 l=[::1]:5173 r=95.25.228.116:24663
t=2025-08-10T02:35:05+0300 lvl=info msg="join connections" obj=join id=6739d549a09b l=[::1]:5173 r=95.25.228.116:24663
t=2025-08-10T02:35:05+0300 lvl=info msg="join connections" obj=join id=78bc431e8986 l=[::1]:5173 r=95.25.228.116:24663
t=2025-08-10T02:35:05+0300 lvl=info msg="join connections" obj=join id=d3765e4fa9d2 l=[::1]:5173 r=95.25.228.116:24663
t=2025-08-10T02:35:05+0300 lvl=info msg="join connections" obj=join id=d47f883316e3 l=[::1]:5173 r=95.25.228.116:24189
t=2025-08-10T02:35:06+0300 lvl=info msg="join connections" obj=join id=0a67e2ade3c8 l=[::1]:5173 r=95.25.228.116:24663
t=2025-08-10T02:35:06+0300 lvl=info msg="join connections" obj=join id=32f7eb472e1f l=[::1]:3001 r=95.25.228.116:23379
t=2025-08-10T02:35:06+0300 lvl=info msg="join connections" obj=join id=c6db9b277da5 l=[::1]:3001 r=95.25.228.116:23379
t=2025-08-10T02:35:06+0300 lvl=info msg="join connections" obj=join id=f51784d6e61c l=[::1]:3001 r=95.25.228.116:24662
t=2025-08-10T02:35:06+0300 lvl=info msg="join connections" obj=join id=f6035dda8a4c l=[::1]:3001 r=95.25.228.116:24662
t=2025-08-10T02:35:06+0300 lvl=info msg="join connections" obj=join id=9a0c9c86d3c2 l=[::1]:5173 r=95.25.228.116:24663
t=2025-08-10T02:35:06+0300 lvl=info msg="join connections" obj=join id=25815a607c09 l=[::1]:5173 r=95.25.228.116:24663
t=2025-08-10T02:35:10+0300 lvl=info msg="join connections" obj=join id=92de9d824b13 l=[::1]:5173 r=95.25.228.116:24663
t=2025-08-10T02:35:10+0300 lvl=info msg="join connections" obj=join id=5371acf976cb l=[::1]:5173 r=95.25.228.116:24663
t=2025-08-10T02:35:10+0300 lvl=info msg="join connections" obj=join id=88eb246646eb l=[::1]:5173 r=95.25.228.116:24663
t=2025-08-10T02:35:10+0300 lvl=info msg="join connections" obj=join id=0668981caa25 l=[::1]:5173 r=95.25.228.116:24663
t=2025-08-10T02:35:10+0300 lvl=info msg="join connections" obj=join id=8986b61aa9c3 l=[::1]:5173 r=95.25.228.116:24663
t=2025-08-10T02:35:10+0300 lvl=info msg="join connections" obj=join id=b25c64c79184 l=[::1]:5173 r=95.25.228.116:24663
t=2025-08-10T02:35:10+0300 lvl=info msg="join connections" obj=join id=45a53bae3a72 l=[::1]:5173 r=95.25.228.116:24663
t=2025-08-10T02:35:10+0300 lvl=info msg="join connections" obj=join id=e7cacfd69971 l=[::1]:5173 r=95.25.228.116:24663
t=2025-08-10T02:35:10+0300 lvl=info msg="join connections" obj=join id=11282271358a l=[::1]:5173 r=95.25.228.116:24663
t=2025-08-10T02:35:10+0300 lvl=info msg="join connections" obj=join id=7d163a6781ba l=[::1]:5173 r=95.25.228.116:24663
t=2025-08-10T02:35:10+0300 lvl=info msg="join connections" obj=join id=178bf6827504 l=[::1]:5173 r=95.25.228.116:24663
t=2025-08-10T02:35:10+0300 lvl=info msg="join connections" obj=join id=0774a664f50d l=[::1]:5173 r=95.25.228.116:24663
t=2025-08-10T02:35:10+0300 lvl=info msg="join connections" obj=join id=520bdc004d93 l=[::1]:5173 r=95.25.228.116:24663
t=2025-08-10T02:35:10+0300 lvl=info msg="join connections" obj=join id=fa0731e371cf l=[::1]:5173 r=95.25.228.116:24663
t=2025-08-10T02:35:10+0300 lvl=info msg="join connections" obj=join id=a80c6b0b3c6a l=[::1]:5173 r=95.25.228.116:24663
t=2025-08-10T02:35:10+0300 lvl=info msg="join connections" obj=join id=cefb26a5cab8 l=[::1]:5173 r=95.25.228.116:24663
t=2025-08-10T02:35:10+0300 lvl=info msg="join connections" obj=join id=64066bd5edf6 l=[::1]:5173 r=95.25.228.116:24663
t=2025-08-10T02:35:11+0300 lvl=info msg="join connections" obj=join id=83049fb65b65 l=[::1]:5173 r=95.25.228.116:24102
t=2025-08-10T02:35:11+0300 lvl=info msg="join connections" obj=join id=2f13cdb807c2 l=[::1]:5173 r=95.25.228.116:24663
t=2025-08-10T02:35:11+0300 lvl=info msg="join connections" obj=join id=60980bc8a669 l=[::1]:5173 r=95.25.228.116:24663
t=2025-08-10T02:35:11+0300 lvl=info msg="join connections" obj=join id=a0f467e7f341 l=[::1]:5173 r=95.25.228.116:24663
t=2025-08-10T02:35:18+0300 lvl=info msg="join connections" obj=join id=32e028c01f8c l=[::1]:5173 r=95.25.228.116:24663
t=2025-08-10T02:35:18+0300 lvl=info msg="join connections" obj=join id=5be9e2c6858a l=[::1]:5173 r=95.25.228.116:24663
t=2025-08-10T02:35:18+0300 lvl=info msg="join connections" obj=join id=ffa4b4be1a2a l=[::1]:5173 r=95.25.228.116:24663
t=2025-08-10T02:35:18+0300 lvl=info msg="join connections" obj=join id=83f295171467 l=[::1]:5173 r=95.25.228.116:24663
t=2025-08-10T02:35:18+0300 lvl=info msg="join connections" obj=join id=2c89976ff664 l=[::1]:5173 r=95.25.228.116:24663
t=2025-08-10T02:35:18+0300 lvl=info msg="join connections" obj=join id=690f8eba84ff l=[::1]:5173 r=95.25.228.116:24663
t=2025-08-10T02:35:18+0300 lvl=info msg="join connections" obj=join id=649db2e4ce92 l=[::1]:5173 r=95.25.228.116:24663
t=2025-08-10T02:35:18+0300 lvl=info msg="join connections" obj=join id=d4893545da5c l=[::1]:5173 r=95.25.228.116:24663
t=2025-08-10T02:35:18+0300 lvl=info msg="join connections" obj=join id=3cbe21eed49f l=[::1]:5173 r=95.25.228.116:24663
t=2025-08-10T02:35:18+0300 lvl=info msg="join connections" obj=join id=85b0fafbcf85 l=[::1]:5173 r=95.25.228.116:24663
t=2025-08-10T02:35:18+0300 lvl=info msg="join connections" obj=join id=32dba9f22e9b l=[::1]:5173 r=95.25.228.116:24663
t=2025-08-10T02:35:18+0300 lvl=info msg="join connections" obj=join id=f99f9064a6b3 l=[::1]:5173 r=95.25.228.116:24663
t=2025-08-10T02:35:18+0300 lvl=info msg="join connections" obj=join id=8a088fa2f603 l=[::1]:5173 r=95.25.228.116:24663
t=2025-08-10T02:35:18+0300 lvl=info msg="join connections" obj=join id=9f1e0a3222f9 l=[::1]:5173 r=95.25.228.116:24663
t=2025-08-10T02:35:18+0300 lvl=info msg="join connections" obj=join id=54d7fd6185cc l=[::1]:5173 r=95.25.228.116:24663
t=2025-08-10T02:35:18+0300 lvl=info msg="join connections" obj=join id=5eb1f5381a76 l=[::1]:5173 r=95.25.228.116:24663
t=2025-08-10T02:35:18+0300 lvl=info msg="join connections" obj=join id=35c8f374ce87 l=[::1]:5173 r=95.25.228.116:24663
t=2025-08-10T02:35:18+0300 lvl=info msg="join connections" obj=join id=4b317462ce68 l=[::1]:5173 r=95.25.228.116:24663
t=2025-08-10T02:35:18+0300 lvl=info msg="join connections" obj=join id=add6a672c1af l=[::1]:5173 r=95.25.228.116:24663
t=2025-08-10T02:35:18+0300 lvl=info msg="join connections" obj=join id=7ff1f8638966 l=[::1]:5173 r=95.25.228.116:23341
t=2025-08-10T02:35:18+0300 lvl=info msg="join connections" obj=join id=58ff3597b952 l=[::1]:5173 r=95.25.228.116:24663
t=2025-08-10T02:35:19+0300 lvl=info msg="join connections" obj=join id=af66dd349b81 l=[::1]:3001 r=95.25.228.116:23379
t=2025-08-10T02:35:19+0300 lvl=info msg="join connections" obj=join id=26c62b32a7dd l=[::1]:3001 r=95.25.228.116:23379
t=2025-08-10T02:35:19+0300 lvl=info msg="join connections" obj=join id=f70fa7ae06c8 l=[::1]:3001 r=95.25.228.116:24662
t=2025-08-10T02:35:19+0300 lvl=info msg="join connections" obj=join id=5b9cab5acb4c l=[::1]:3001 r=95.25.228.116:24662
t=2025-08-10T02:35:19+0300 lvl=info msg="join connections" obj=join id=b1d376753c6a l=[::1]:5173 r=95.25.228.116:24663
t=2025-08-10T02:35:19+0300 lvl=info msg="join connections" obj=join id=439730bfb0a0 l=[::1]:5173 r=95.25.228.116:24663
t=2025-08-10T02:35:31+0300 lvl=info msg="join connections" obj=join id=3c8cf177496a l=[::1]:5173 r=95.25.228.116:24663
t=2025-08-10T02:35:31+0300 lvl=info msg="join connections" obj=join id=98fb6f984252 l=[::1]:5173 r=95.25.228.116:24663
